ticker,name,index,sector,last_date,close,rsi,sma200,dist200,z,vol1y,vol5y,rev_days,halflife,episodes,hitrate,obs,score,sig,stale
BEAN.SW,Belimo,SMIM,Industrie,2026-08-18,829.0,44.7,802.48,3.3,-0.11,37.9,33.9,87.0,67.0,8.0,100.0,1532,10.0,kein Signal,False
GALE.SW,Galenica,SMIM,Gesundheit,2026-08-18,80.95,29.1,89.94,-10.0,-2.41,16.5,17.5,38.0,34.0,17.0,94.0,1533,92.0,Kaufsignal deutlich,False
AVOL.SW,Avolta,SMIM,Detailhandel,2026-08-18,47.46,39.3,47.75,-0.61,0.07,29.1,32.9,85.0,49.0,10.0,100.0,1532,13.0,kein Signal,False
FHZN.SW,Flughafen Zürich,SMIM,Infrastruktur,2026-08-18,225.0,31.1,241.7,-6.91,-1.99,20.3,20.8,37.0,23.0,22.0,95.0,1531,78.0,Kaufsignal,False
CLN.SW,Clariant,SMIM,Chemie,2026-08-18,10.83,78.4,7.7,40.65,4.06,35.9,30.7,74.0,59.0,11.0,91.0,1532,-100.0,Verkaufssignal deutlich,False
GALD.SW,Galderma,SMIM,Pharma,2026-08-18,169.6,42.2,159.85,6.1,-1.0,28.1,32.9,77.0,30.0,5.0,80.0,599,37.0,kein Signal,False
SOON.SW,Sonova,SMIM,Medtech,2026-08-18,243.4,75.6,201.67,20.69,1.65,27.7,29.2,94.0,69.0,10.0,90.0,1533,-78.0,Verkaufssignal,False
SQN.SW,Swissquote,SMIM,Banken,2026-08-18,37.88,38.0,42.77,-11.43,-1.01,33.5,35.9,159.0,104.0,6.0,83.0,1530,43.0,kein Signal,False
ACLN.SW,Accelleron,SMIM,Industrie,2026-08-18,75.8,50.1,73.4,3.27,-1.11,33.1,32.9,92.0,54.0,6.0,83.0,972,29.0,kein Signal,False
SUNN.SW,Sunrise,SMIM,Telekom,2026-08-18,41.68,47.9,43.43,-4.03,,21.4,24.1,,,,,436,,kein Score,False
